YearsExperience,Salary
7.96,106021.82
7.93,104174.31
5.71,75344.15
7.16,84956.46
8.43,98129.86
10.88,128594.72
11.85,140056.08
14.7,152607.82
4.8,76980.8
2.7,49964.95
14.57,158431.75
5.89,86896.42
10.97,120874.93
9.59,122289.84
8.91,110056.3
5.33,79049.24
3.0,49151.8
14.8,161201.27
1.1,33282.02
9.02,108222.62
6.5,88106.1
13.58,152458.1
1.59,44426.67
12.94,144431.63
13.32,154917.81
9.11,119553.64
4.09,60794.8
13.82,157721.67
4.15,65910.98
7.7,91893.4
11.94,141839.32
2.6,44119.26
14.87,171196.49
11.25,121693.17
7.03,91408.3
0.5,29629.88
11.7,140185.21
0.56,29637.03
7.21,88181.82
5.62,90062.49
9.05,107310.26
13.07,146014.16
2.5,42992.43
4.04,61834.93
4.51,74960.53
4.66,62533.47
12.86,154215.09
5.41,88089.1
4.49,77413.25
12.25,136982.93
7.67,105413.7
13.42,144339.31
3.08,59466.93
10.05,129807.86
9.91,116372.93
6.53,95468.37
0.99,29265.89
2.84,52535.47
13.09,145608.86
0.72,32615.59
6.5,84755.09
8.93,111075.18
1.49,38695.37
10.69,131000.94
5.77,83505.16
10.33,116378.02
7.59,104553.35
10.44,132346.4
13.27,148216.61
6.76,96455.47
12.88,147385.87
14.36,151867.42
5.52,80105.81
2.83,61148.27
11.79,136077.69
5.15,74177.83
9.53,123606.46
8.48,110956.22
6.09,89302.02
11.56,133998.39
6.16,78750.37
5.52,84233.08
8.74,109769.37
10.58,125740.2
4.11,73299.56
10.71,133555.26
12.93,145300.28
7.28,101034.77
6.45,95500.46
14.85,168524.26
2.85,55080.28
10.52,122528.78
12.79,152354.7
6.21,90953.38
2.92,58802.63
6.49,90705.65
3.34,69627.77
5.22,74838.45
9.2,119046.88
6.35,93298.48
6.33,77708.7
8.18,103026.88
11.01,130611.15
9.45,113029.07
10.15,125502.13
7.12,99381.44
5.15,86133.07
8.48,105075.61
9.49,115762.58
10.5,131279.26
13.57,161027.93
7.91,98792.56
12.51,148786.15
8.09,106894.18
6.6,85894.1
13.47,153204.31
3.81,68366.57
1.54,53758.05
5.99,77175.49
14.35,168219.82
1.32,40526.45
1.06,33703.64
8.36,107905.7
2.01,49509.65
7.8,99782.76
11.63,125124.36
5.63,78583.07
4.25,66705.94
4.87,78260.15
5.14,80399.47
2.23,49813.51
12.65,148777.03
12.49,137985.76
4.35,76011.23
3.46,70060.57
11.74,133990.89
3.7,67045.79
6.77,88171.44
7.9,91380.84
13.59,151649.31
14.23,167749.93
0.6,38922.75
14.18,158544.55
8.32,101930.71
8.9,113534.87
8.95,108977.01
10.46,134032.34
9.75,126639.06
1.9,39927.11
14.4,167247.5
10.16,121076.42
